"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","dataset","first_seen","last_seen"
"Q1100237","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-31 03:03:35","2022-08-04 06:18:07"
"Q1112186","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q1156175","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q119368","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q123923","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-16 16:41:18","2022-08-04 06:18:07"
"Q1260309","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q1268263","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q1269478","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q12696236","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-31 03:03:35","2022-08-04 06:18:07"
"Q1269985","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q1270169","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q1273114","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q1274427","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q1274770","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q12755560","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q12758852","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-05-27 12:28:50","2022-08-04 06:18:07"
"Q1277106","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q1283467","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q1284176","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q1284308","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q1285208","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q1285805","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q1289469","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q12904564","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q1290539","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
